log regularization parameter,Population risk,Empirical risk,Risk bound,Bayes risk,Distribution
-13.846153846153847,1.643190293853946,6.38641478200517e-10,110444.74564136297,0.26717136965212185,Gaussian
-13.846153846153847,1.6727191409915796,4.767377656419982e-10,115281.60118107298,0.26717136965212185,Gaussian
-13.846153846153847,1.7198051317842722,8.827329340879498e-10,144865.5624011516,0.26717136965212185,Gaussian
-13.846153846153847,1.6245474737151402,6.489892099790887e-10,179733.86554603514,0.26717136965212185,Gaussian
-13.846153846153847,1.6662194324674882,6.271462635538556e-10,197483.0008162052,0.26717136965212185,Gaussian
-13.846153846153847,1.7651312033261863,4.931598828847446e-10,179100.65057835446,0.26717136965212185,Gaussian
-13.846153846153847,1.6745108442327874,8.592011375698098e-10,194023.23112872895,0.26717136965212185,Gaussian
-13.846153846153847,1.6452997032163603,5.801328959141445e-10,142850.6960557784,0.26717136965212185,Gaussian
-13.846153846153847,1.6750274599450312,7.537686996318065e-10,168276.42943378305,0.26717136965212185,Gaussian
-13.846153846153847,1.7063248861042426,4.231615673303326e-10,164090.08253264538,0.26717136965212185,Gaussian
-13.846153846153847,1.7330089283210306,7.622532110268706e-10,166964.4653183162,0.26717136965212185,Gaussian
-13.846153846153847,1.6891601145996509,3.6942134528322007e-10,124340.33778511264,0.26717136965212185,Gaussian
-13.846153846153847,1.741192299467232,8.127159329145528e-10,200157.4633141345,0.26717136965212185,Gaussian
-13.846153846153847,1.693566250723156,8.867173886452504e-10,187735.52618751742,0.26717136965212185,Gaussian
-13.846153846153847,1.702340417743011,6.414769683841138e-10,140172.43179247394,0.26717136965212185,Gaussian
-13.846153846153847,1.7784750931464557,6.721177572534004e-10,186106.99867268972,0.26717136965212185,Gaussian
-13.846153846153847,1.7931619875821652,7.94687514191071e-10,132725.86798970986,0.26717136965212185,Gaussian
-13.846153846153847,1.6653634176308787,7.390106239018537e-10,181936.12097849706,0.26717136965212185,Gaussian
-13.846153846153847,1.7402113361011402,3.3730364177164173e-10,136850.78581870336,0.26717136965212185,Gaussian
-13.846153846153847,1.680339214780034,5.765347254708543e-10,176794.01775603718,0.26717136965212185,Gaussian
-13.846153846153847,1.6147201871971357,9.074176865698019e-10,177597.10995365155,0.26717136965212185,Gaussian
-13.846153846153847,1.70026849774316,5.348472627253711e-10,183993.84010244245,0.26717136965212185,Gaussian
-13.846153846153847,1.7420559505629674,4.919591596650547e-10,121285.00187632359,0.26717136965212185,Gaussian
-13.846153846153847,1.5698820848518025,6.969247686222877e-10,130243.52284802185,0.26717136965212185,Gaussian
-13.846153846153847,1.6732770924605618,8.673471335980954e-10,153207.1139284125,0.26717136965212185,Gaussian
-13.846153846153847,1.672340436500099,6.20180300947959e-10,163120.69587361874,0.26717136965212185,Gaussian
-13.846153846153847,1.7468139611475804,5.893549298013944e-10,110125.13056889414,0.26717136965212185,Gaussian
-13.846153846153847,1.7055323518339771,4.687861039919914e-10,151772.86429458688,0.26717136965212185,Gaussian
-13.846153846153847,1.6113052640798737,4.818781676778546e-10,135779.68091966386,0.26717136965212185,Gaussian
-13.846153846153847,1.7074698101749142,6.209644939198032e-10,146970.2194902503,0.26717136965212185,Gaussian
-13.846153846153847,1.7231555243406735,7.38851729024519e-10,141313.93555763317,0.26717136965212185,Gaussian
-13.846153846153847,1.6497693688362578,5.979662879603806e-10,203161.3530508303,0.26717136965212185,Gaussian
-13.846153846153847,1.6952023606216702,6.787215465278699e-10,161637.18520103875,0.26717136965212185,Gaussian
-13.846153846153847,1.6536874210671848,6.989435542760652e-10,133231.60238041676,0.26717136965212185,Gaussian
-13.846153846153847,1.720641973663103,9.197201680589078e-10,145661.41701415298,0.26717136965212185,Gaussian
-13.846153846153847,1.6899029816367903,6.183564472750982e-10,195789.17828778675,0.26717136965212185,Gaussian
-13.846153846153847,1.7218550851698653,5.021622722677124e-10,169251.3295685747,0.26717136965212185,Gaussian
-13.846153846153847,1.7279363210474599,7.858387359293795e-10,249895.2425885835,0.26717136965212185,Gaussian
-13.846153846153847,1.6999735867013441,7.203251431670375e-10,151154.40412455748,0.26717136965212185,Gaussian
-13.846153846153847,1.7174195524869122,6.364575064730875e-10,168347.68290233595,0.26717136965212185,Gaussian
-13.846153846153847,1.6492360499901744,7.133006355429318e-10,177086.5747893533,0.26717136965212185,Gaussian
-13.846153846153847,1.5899244929301786,9.002265544645492e-10,143169.46223773903,0.26717136965212185,Gaussian
-13.26923076923077,1.5026420623595467,1.998839450227306e-09,89674.67406111321,0.26717136965212185,Gaussian
-13.26923076923077,1.5900288583130917,9.80179290435545e-10,71699.77904109411,0.26717136965212185,Gaussian
-13.26923076923077,1.6759145694102953,1.2949306707367258e-09,67040.32638232544,0.26717136965212185,Gaussian
-13.26923076923077,1.4972296288870737,8.718947961366764e-10,75542.09646690228,0.26717136965212185,Gaussian
-13.26923076923077,1.5124534971087549,1.0138077593998666e-09,87901.42955933431,0.26717136965212185,Gaussian
-13.26923076923077,1.5643170398503727,1.253702937926448e-09,99623.14212932717,0.26717136965212185,Gaussian
-13.26923076923077,1.541732561355806,1.4035842941947775e-09,89632.41471063609,0.26717136965212185,Gaussian
-13.26923076923077,1.5545692207145327,1.796405307182652e-09,90146.28567469417,0.26717136965212185,Gaussian
-13.26923076923077,1.4901115152908293,1.6101795587748928e-09,72164.21847590746,0.26717136965212185,Gaussian
-13.26923076923077,1.5308947311560728,1.5521558526543147e-09,68670.19888395118,0.26717136965212185,Gaussian
-13.26923076923077,1.5542262773283262,1.2656171278584729e-09,82593.32187947839,0.26717136965212185,Gaussian
-13.26923076923077,1.4842843774527175,1.4932931006136978e-09,113279.84267391473,0.26717136965212185,Gaussian
-13.26923076923077,1.4956015694264841,1.2859911775290009e-09,114603.41419256324,0.26717136965212185,Gaussian
-13.26923076923077,1.5558801316589264,1.136914927043185e-09,114989.11199174785,0.26717136965212185,Gaussian
-13.26923076923077,1.4841207303387287,1.8247915773024049e-09,123949.01312260391,0.26717136965212185,Gaussian
-13.26923076923077,1.4882976269792962,1.0587949053897872e-09,87304.49950400757,0.26717136965212185,Gaussian
-13.26923076923077,1.5039907991228592,1.8160798789049633e-09,100497.54437514958,0.26717136965212185,Gaussian
-13.26923076923077,1.5727197591430635,1.398235284750254e-09,100291.40185071793,0.26717136965212185,Gaussian
-13.26923076923077,1.5818294528354024,1.2219273527667969e-09,107761.38852129916,0.26717136965212185,Gaussian
-13.26923076923077,1.5873008926944883,1.0291644785268882e-09,78792.0052315912,0.26717136965212185,Gaussian
-13.26923076923077,1.599798883404131,2.5516213768431606e-09,125597.57869868235,0.26717136965212185,Gaussian
-13.26923076923077,1.5977028155386734,1.6329155982665165e-09,120522.86693568557,0.26717136965212185,Gaussian
-13.26923076923077,1.594471900563432,1.5619128440880733e-09,95790.71159529175,0.26717136965212185,Gaussian
-13.26923076923077,1.5896434930843943,1.740900751605452e-09,121190.52577642338,0.26717136965212185,Gaussian
-13.26923076923077,1.6748123968855877,1.6219033246068638e-09,83610.35044928611,0.26717136965212185,Gaussian
-13.26923076923077,1.516743077659768,1.9645089865133073e-09,105969.85069812472,0.26717136965212185,Gaussian
-13.26923076923077,1.5569712920909542,8.91121984180235e-10,91607.27366714086,0.26717136965212185,Gaussian
-13.26923076923077,1.5408590831339013,2.3735929507226978e-09,117781.54045872563,0.26717136965212185,Gaussian
-13.26923076923077,1.4628474902307702,2.0720100127353184e-09,96263.34661880307,0.26717136965212185,Gaussian
-13.26923076923077,1.518519697266463,1.7861337038848079e-09,114062.11879478472,0.26717136965212185,Gaussian
-13.26923076923077,1.5496520375690461,1.7859306117807692e-09,72994.82116221827,0.26717136965212185,Gaussian
-13.26923076923077,1.4101907895839028,1.641457410587904e-09,70454.99099214074,0.26717136965212185,Gaussian
-13.26923076923077,1.5372142232123145,1.8052388742349495e-09,94776.65531277827,0.26717136965212185,Gaussian
-13.26923076923077,1.5226711554256813,2.318232547472044e-09,90551.92717697535,0.26717136965212185,Gaussian
-13.26923076923077,1.6859106193890006,2.08015509475632e-09,67097.53979322781,0.26717136965212185,Gaussian
-13.26923076923077,1.574188196260189,1.563372457561155e-09,105252.55736081724,0.26717136965212185,Gaussian
-13.26923076923077,1.4627976621823302,7.59833079990846e-10,84475.54146332388,0.26717136965212185,Gaussian
-13.26923076923077,1.5621405978788867,1.6149782834660137e-09,93997.95963724778,0.26717136965212185,Gaussian
-13.26923076923077,1.5472050989857664,1.7779989369977727e-09,89902.900734965,0.26717136965212185,Gaussian
-13.26923076923077,1.5025618483045875,1.713946991738925e-09,131010.7545701846,0.26717136965212185,Gaussian
-13.26923076923077,1.5646461475475808,1.7344258630389383e-09,92150.0201991277,0.26717136965212185,Gaussian
-13.26923076923077,1.5728473734402908,1.2822955889099102e-09,81682.64173044868,0.26717136965212185,Gaussian
-13.26923076923077,1.5580123865429212,2.314852670965603e-09,88873.5612684674,0.26717136965212185,Gaussian
-13.26923076923077,1.5344730042482357,1.5395435544923415e-09,123516.87253577604,0.26717136965212185,Gaussian
-13.26923076923077,1.5521325498720617,1.1613394066309832e-09,117106.01831565052,0.26717136965212185,Gaussian
-13.26923076923077,1.5441841999017025,1.6664949512520134e-09,156813.5115503443,0.26717136965212185,Gaussian
-13.26923076923077,1.557990785739065,1.8453545380413827e-09,90272.522978396,0.26717136965212185,Gaussian
-13.26923076923077,1.58814301732834,1.34201081722155e-09,104112.69698410497,0.26717136965212185,Gaussian
-13.26923076923077,1.471235467117366,1.9768489404362684e-09,105164.60050882818,0.26717136965212185,Gaussian
-13.26923076923077,1.5060239950821601,1.7250979854608961e-09,88651.2128063769,0.26717136965212185,Gaussian
